// 数据使用http://ai.uremy.world格式化导出
// 出处 https://github.com/zcyzcy88/TagTable
// 视角与画面部分整合自https://aitag.top/

#图片质量
highres, 高分辨率
absurdres, 超高分辨率
incredibly_absurdres, 极高分辨率
huge_filesize, 超级高分辨率/大文件
animated_gif, gif格式图片
parody, 拙劣的模仿
lowres, 低分辨率


#图片风格
artbook, 原画
game_cg, 游戏CG
comic, 漫画
4koma, 四格
dakimakura, 抱枕
cosplay, 角色扮演
crossover, 穿越
dark, 暗的
light, 亮的
night, 晚上
guro, 猎奇
realistic, 写实
photo, 照片
real, 真实
original, 原创
personification, 拟人
checkered, 格子的
wallpaper, 壁纸
pixel_art, 点阵图
monochrome, 单色图片
colorful, 色彩斑斓的
optical_illusion, 视觉错误
fine_art_parody, 名画模仿
sketch, 素描
traditional_media, 传统媒体（基本上是手绘稿）
watercolor_(medium), 透明水彩绘
silhouette, 剪影
covr, 封面
album, 专辑
sample, 图上有sample字样
profile, 侧面绘
expressions, 表情绘（各种表情）
everyone, 一部作品中的主要人物集齐
column_lineup, 一列列小图组成大图
transparent_background, 透明的背景(.png)
simple_background, 简单的背景(无背景)
gradient_background, 渐变的背景
zoom_layer, 背景是前景的放大版
English, 英文
Chinese, 中文
French, 法文
Japanese, 日本人
translation_request, 翻译
bad_id, ID转向错误(原地址或已被删除)
tagme, 图片有一些上传者未知的项目
artist_request, 作者未知, 需要补完
what, 不知所谓

#视角
from behind, 背后视角
from below, 低位视角
from above, 高位视角
from side, 侧边视角
solo focus, 单人焦点
blurry background, 多人背景
back focus, 背后焦点
ass focus, pp焦点
hip focus, 臀部焦点
foot focus, 足部焦点
facing away, 人物面朝远方(背对)
profile, 侧脸
straight-on, 正面面对
first-person view, 第一人称
pov, 主观视角
pov hands, 手主观视角
pov crotch, 胯部主观视角
three sided view, 三视图
concept art, 三视图进阶
reference sheet, 三视图进阶
official art, 三视图进阶
multiple views, 多视图

#画面
full body, 全身
out of frame, 人物超出框
head out of frame, 头超出框
feet out of frame, 足超出框
full body, 全身
upper body, 上半身
lower body, 下半身
cropped torso upper body, 躯干下剪裁
cropped shoulders  , 肩下剪裁
cropped arms, 手臂下剪裁
cropped legs  , 腿下剪裁
cowboy shot, 牛仔特写
portrait, 人像
close-up, 特写
cut-in, 插入画面
selfiemirror, 自拍
dakimakura (medium), 抱枕
expressions, 表情表
back, 背影像
bust, 半身像

#人物类型
trap, 伪娘
crossdressing, 伪娘
milf, 熟女
shota, 正太
loli, 萝莉
yuri, 百合
yaoi, 搞基
harem, 后宫
no_humans, 非人
sisters, 姐妹
siblings, 兄弟姐妹
Witch, 女巫
miko, 巫女
maid, 女仆
waitress, 女服务员
cheerleader, 拉拉队
doll, 人偶
yukkuri_shiteitte_ne, 油库里（馒头样人物, 东方系列）
ninja, 忍者/日本武士
nun, 修女
mermaid, 美人鱼
fairy, 小精灵
elf, 妖精
angel, 天使
monster, 怪物
devil, 魔鬼（撒旦）
vampire, 吸血鬼
magical_girl, 魔法少女
multiple_girls, 魔幻少女(指有魔力的)
furry, 兽人/半兽人
orc, 兽人/半兽人
giantess, 女巨人
minigirl, 迷你女孩
kemonomimi_mode, 兽耳萝莉模式
chibi, Q版人物

#人物数量/性别
solo, 单人
1girl, 1个女人
2girls, 2个女人
1boy, 1个男人
2boys, 2个男人
male, 男人
female, 女人

#人物表情
makeup, 浓装
food_on_face, 食物在脸上
eyelid_pull, 拉眼皮吐舌鬼脸
eyeball, 盯着看
smelling, 闻
